year,source,category,author,title,notes
1794,catalogue,pf + i variations,Beethoven,12 var. Un air de Mozart av. Viol.,"Zwölf Variationen über ""Se vuol ballare"" aus Wolfgang Amadeus Mozarts Oper ""Le nozze di Figaro"" für Klavier und Violine (F-Dur) WoO 40, Artaria, 437 [1794]"
1794,catalogue,pf variations,Beethoven,"12 var. Sur l'air de l'operette das rothe Käppchen, es was einmal ein alter Mann.","Variationen über die Ariette ""Es war einmal ein alter Mann"" aus Karl Ditters von Dittersdorfs Singspiel ""Das rote Käppchen"" für Klavier (A-Dur) WoO 66, Simrock [1793]"
1795,catalogue,pf 4hds,Beethoven,Var.,"Variationen über ein Thema von Ferdinand von Waldstein für Klavier zu 4 Händen (C-Dur) WoO 67, Simrock, 15 [1794]"
1796,catalogue,pf + i sonatas,Beethoven,3 Trios p. Clav. Viol. & Vcllo. Op. 1,"Trios für Klavier, Violine, Violoncello (Es-Dur, G-Dur, c-Moll) op. 1, 1-3, Stimmen, Artaria [1795]"
1797,catalogue,pf sonatas,Beethoven,3 Son. Op. 2,"Sonaten für Klavier (f-Moll, A-Dur, C-Dur) op. 2, 1-3, Artaria, 614 [1796]"
1798,catalogue,pf variations,Beethoven,[without title],[not identified]
1799,catalogue,lieder,Beethoven,Adelaïde von Matthisson,"""Adelaide"", Lied für Singstimme und Klavier op. 46, Artaria, 691 [1797]"
1799,catalogue,pf sonatas,Beethoven,3 Son.,"Sonaten für Klavier (c-Moll, F-Dur, D-Dur) op. 10, 1-3, Eder, 23 [1798]"
1799,catalogue,string trios,Beethoven,3 Trios,"Trios für Violine, Viola, Violoncello (G-Dur, D-Dur, c-Moll) op. 9, 1-3, Stimmen, Traeg, 42 [1798]"
1800,catalogue,pf + i sonatas,Beethoven,3 Son. Op. 12,"Sonaten für Klavier und Violine (D-Dur, A-Dur, Es-Dur) op. 12, 1-3, Stimmen, Artaria, 793 [1798/99]"
1800,catalogue,pf variations,Beethoven,plusieurs cahiers,[not identified]
