year,source,category,author,title,notes
1796,catalogue,pf sonatas,Adam,3 Son. Op. 7,
1801,catalogue,pf sonatas,Adam,Son. Op. 8 liv. 1,
1802,catalogue,pf sonatas,Adam,Son. Op. 8 liv. 2,
1794,catalogue,pf sonatas,"Bach, C.Ph.E.",Son. oeuvre posthume,
1803,catalogue,pf sonatas,"Bach, C.Ph.E.",Son. Oeuvre posthume,
1797,catalogue,pf sonatas,Bachmann,Son. Op. 4,
1799,catalogue,pf sonatas,Bachmann,Son.,
1804,catalogue,pf sonatas,Bachmann,Son. Op. 34,
1804,catalogue,pf sonatas,Bachmann,Sonatine Op. 36,https://discover.libraryhub.jisc.ac.uk/id/168286495
1797,catalogue,pf sonatas,Beethoven,3 Son. Op. 2,"Sonaten für Klavier (f-Moll, A-Dur, C-Dur) op. 2, 1-3, Artaria, 614 [1796]"
1799,catalogue,pf sonatas,Beethoven,3 Son.,"Sonaten für Klavier (c-Moll, F-Dur, D-Dur) op. 10, 1-3, Eder, 23 [1798]"
1801,catalogue,pf 4hds sonatas,Beethoven,Son.,"Sonate für Klavier zu 4 Händen (D-Dur) op. 6, Artaria, 712 [1797]"
1801,catalogue,pf sonatas,Beethoven,Son. Op. 13,"Grande sonate pathétique op. 13, Hoffmeister [1799]"
1801,catalogue,pf sonatas,Beethoven,2 Son. Op. 14,"Sonate für Klavier op. 14, Mollo [1799]"
1802,catalogue,pf fantasias,Beethoven,Fant. Nro 1 & 2,"Sonate für Klavier (Es-Dur) op. 27, 1 (Sonata quasi una Fantasia), Cappi [1802]"
1802,catalogue,pf fantasias,Beethoven,Fant. Nro 1 & 2,"Sonate für Klavier (cis-Moll) op. 27, 2 (Sonata quasi una fantasia), Cappi, 879 [1802]"
1802,catalogue,pf sonatas,Beethoven,Son. Op. 22,"Sonate für Klavier (B-Dur) op. 22, Hoffmeister, 88 [1802]"
1802,catalogue,pf sonatas,Beethoven,Son. Op. 26,"Sonate für Klavier (As-Dur) op. 26, Simrock, 225 [1802]"
