name,key,year
WoO 206: Oboe Concerto (Hess 12), F major ,1792
WoO 207: Romance cantabile for soloists and orchestra (Hess 13), E moll, 1786
WoO 209: Minuet for string quartet (Hess 33),A flat major, 1790
WoO 210: Allegretto for string quartet (Gardi 16), B minor, 1817
WoO 211: Andante (Biamonti 52), C major, 1790
WoO 212: Anglaise for piano (Hess 61),D major, 1793
WoO 213 No.1: Andante (bagatelle)(Biamonti 283),D-flat major, 1793
WoO 213 No.2: Finale (bagatelle) (Biamonti 282), G major ,1793
WoO 213 No.3: Rondo (bagatelle) (Biamonti 275),A major, 1793
WoO 214: Allegretto (bagatelle) (Hess 69), C minor, 1794
WoO 215: Fugue  (Hess 64),  C major, 1795
WoO 216 No.1: Bagatelle for piano (Hess 73), C major, 1800 
WoO 216 No.2: Bagatelle (Hess 74), in E flat major, 1800 
WoO 217: Minuet (Biamonti 66), F major, 1794
WoO 218: Minuet (Biamonti 74), C major ,1793 
WoO 219: Waltz or Ländler (Hess 68), C minor, 1803
WoO 220: Kriegslied für die verbündeten Heere (lost) (Hess 123), ,1813
WoO 221: Canon Herr Graf (Hess 276), ,1796
WoO 222: Canon (Hess 275),A flat major, 1803
WoO 223: Thut auf (Biamonti 752), C major, 1820
WoO 224: Cacatum non est Pictum (Gardi 9), B flat major, 1820
WoO 225: Grossen Dank für solche Gnade (Hess 303), ,1823
WoO 226: Fettlümerl und Bankert haben triumphirt (Hess 260), , 1823
WoO 227: Musical joke "Esel aller Esel" (Hess 277), F major ,1826
WoO 228 No.1: Musical joke "Ah Tobias" (Gardi 14), ,1825
WoO 228 No.2: Musical joke "Tobias" (Hess 285), ,1824
