title,Hess,year,key,key_note,minor,Op.,WoO,Biamonti,Unv,Scoring,Genre,name
Twelve Ecossaise for piano or orchestra,3,,,,,,,,,,,Hess 3
Romance No. 3 for violin & orchestra ,11,1816,,,,,,,,,,Hess 11
Fragment of original version of Piano Concerto No. 2 ,14,1794,,,,,,,,,,Hess 14
Original introduction to the Choral Fantasy ,16,1808,,,,,,,,,,Hess 16
String Trio ,25,1793,,,,,,,,,,Hess 25
Movement in A flat major for string trio ,28,1797,A flat major,A flat,0.0,,,,,,,Hess 28
String Quartet in F major ,32,1799,F major,F,0.0,,,,,,,Hess 32
String Quartet arrangement of Opus 14 No. 1 ,34,1801,,,,,,,,,,Hess 34
Bach fugue arranged for string quartet (fragment) ,35,1817,,,,,,,,,,Hess 35
Handel fugue arranged for string quartet ,36,1798,,,,,,,,,,Hess 36
Mozart fugue arranged for piano four hands,37,,,,,,,,,,,Hess 37
Bach fugue arranged for string quartet ,38,1801,,,,,,,,,,Hess 38
String Quintet in F major (lost),39,,F major,F,0.0,,,,,,,Hess 39
Violin Sonata in A major (fragment) ,46,1790,A major,A,0.0,,,,,,,Hess 46
Allegro con brio in E flat major for piano trio ,47,1800,E flat major,E flat,0.0,,,,,,,Hess 47
Piano Trio in E flat major ,49,1786,E flat major,E flat,0.0,,,,,,,Hess 49
Piano Trio in B flat major ,50,1786,B flat major,B flat,0.0,,,,,,,Hess 50
Piano Sonata in C major,52,,C major,C,0.0,,,,,,,Hess 52
Piano variations on Freudvoll und Liedvoll,54,,,,,,,,,,,Hess 54
Bagatelle in C major ,57,1824,C major,C,0.0,,,,,,,Hess 57
Piano Exercise in B flat major ,58,1800,B flat major,B flat,0.0,,,,,,,Hess 58
Piano Exercise in C major ,59,1792,C major,C,0.0,,,,,,,Hess 59
Draft in A major for Piano ,60,1793,A major,A,0.0,,,,,,,Hess 60
"Arrangement of Christian Friedrich Daniel Schubart's ""Kaplied"" for piano ",63,1789,,,,,,,,,,Hess 63
Concerto excerpt (arrangement of Opus 37) ,65,1820,,,,,,,,,,Hess 65
Two German dances for piano ,67,1811,,,,,,,,,,Hess 67
Allegretto for piano in C minor ,69,1794,C minor,C,1.0,,,,,,,Hess 69
Adagio for piano in G major ,70,1803,G major,G,0.0,,,,,,,Hess 70
Molto adagio for piano in G major ,71,1803,G major,G,0.0,,,,,,,Hess 71
Variations for piano in A major ,72,1803,A major,A,0.0,,,,,,,Hess 72
