Op.,WoO,Hess,Biamonti,Title,Key,Scoring,Genre,Comments,name,year,minor,key_note
Op. 1 No. 1,,,Biamonti 62/1, Piano Trios : Piano Trio,E flat major, vn vc pf,Chamber, NaN,"Op. 1 No. 1, Biamonti 62/1",1793.0,0.0,E flat
Op. 1 No. 2,,,Biamonti 62/2, Piano Trios : Piano Trio,G major, vn vc pf,Chamber, NaN,"Op. 1 No. 2, Biamonti 62/2",1794.0,0.0,G
Op. 1 No. 3,,,Biamonti 62/3, Piano Trios : Piano Trio,C minor, vn vc pf,Chamber, arr. for 2vn va vc as Op.104,"Op. 1 No. 3, Biamonti 62/3",1794.0,1.0,C
Op. 2 No. 1,,,Biamonti 87/1, Piano Sonatas : Piano Sonata No.1,F minor, pf,Keyboard, NaN,"Op. 2 No. 1, Biamonti 87/1",1795.0,1.0,F
Op. 2 No. 2,,,Biamonti 87/2, Piano Sonatas : Piano Sonata No.2,A major, pf,Keyboard, NaN,"Op. 2 No. 2, Biamonti 87/2",1795.0,0.0,A
Op. 2 No. 3,,,Biamonti 87/3, Piano Sonatas : Piano Sonata No.3,C major, pf,Keyboard, NaN,"Op. 2 No. 3, Biamonti 87/3",1795.0,0.0,C
Op. 3,,,Biamonti 105, String Trio,E flat major, vn va vc,Chamber, see also Op.64,"Op. 3, Biamonti 105",1794.0,0.0,E flat
Op. 4,,,Biamonti 115, String Quintet,E flat major, 2vn 2va vc,Chamber, based on Op.103; see also Op.63,"Op. 4, Biamonti 115",1795.0,0.0,E flat
Op. 5 No. 1,,,Biamonti 106/1, Cello Sonatas :  Cello Sonata No.1,F major, vc pf,Chamber, NaN,"Op. 5 No. 1, Biamonti 106/1",1796.0,0.0,F
Op. 5 No. 2,,,Biamonti 106/2, Cello Sonatas :  Cello Sonata No.2,G minor, vc pf,Chamber, NaN,"Op. 5 No. 2, Biamonti 106/2",1796.0,1.0,G
Op. 6,,,Biamonti 134, Sonata for Piano Four Hands in D major,D major, pf4h,Keyboard, NaN,"Op. 6, Biamonti 134",1797.0,0.0,D
Op. 7,,,Biamonti 136, Piano Sonata No.4 ('Grand Sonata'),E flat major, pf,Keyboard, NaN,"Op. 7, Biamonti 136",1797.0,0.0,E flat
