Op.,WoO,Hess,Biamonti,title,key,scoring,genre,name,year,minor,key_note,Unv.,major-minor,type,essential
Op. 1 No. 1,,,Biamonti 62/1, Piano Trios : Piano Trio,E flat major, vn vc pf,Chamber,"Op. 1 No. 1, Biamonti 62/1",1793.0,0.0,E flat,,major,Piano Trio,other
Op. 1 No. 2,,,Biamonti 62/2, Piano Trios : Piano Trio,G major, vn vc pf,Chamber,"Op. 1 No. 2, Biamonti 62/2",1794.0,0.0,G,,major,Piano Trio,other
Op. 1 No. 3,,,Biamonti 62/3, Piano Trios : Piano Trio,C minor, vn vc pf,Chamber,"Op. 1 No. 3, Biamonti 62/3",1794.0,1.0,C,,minor,Piano Trio,other
Op. 2 No. 1,,,Biamonti 87/1, Piano Sonatas : Piano Sonata No.1,F minor, pf,Keyboard,"Op. 2 No. 1, Biamonti 87/1",1795.0,1.0,F,,minor,Sonata for Piano,other
Op. 2 No. 2,,,Biamonti 87/2, Piano Sonatas : Piano Sonata No.2,A major, pf,Keyboard,"Op. 2 No. 2, Biamonti 87/2",1795.0,0.0,A,,major,Sonata for Piano,other
Op. 2 No. 3,,,Biamonti 87/3, Piano Sonatas : Piano Sonata No.3,C major, pf,Keyboard,"Op. 2 No. 3, Biamonti 87/3",1795.0,0.0,C,,major,Sonata for Piano,other
Op. 3,,,Biamonti 105, String Trio,E flat major, vn va vc,Chamber,"Op. 3, Biamonti 105",1794.0,0.0,E flat,,major,Trio (except Piano Trio),other
Op. 4,,,Biamonti 115, String Quintet,E flat major, 2vn 2va vc,Chamber,"Op. 4, Biamonti 115",1795.0,0.0,E flat,,major,Quintet,other
Op. 5 No. 1,,,Biamonti 106/1, Cello Sonatas :  Cello Sonata No.1,F major, vc pf,Chamber,"Op. 5 No. 1, Biamonti 106/1",1796.0,0.0,F,,major,Sonata for other instruments,other
Op. 5 No. 2,,,Biamonti 106/2, Cello Sonatas :  Cello Sonata No.2,G minor, vc pf,Chamber,"Op. 5 No. 2, Biamonti 106/2",1796.0,1.0,G,,minor,Sonata for other instruments,other
Op. 6,,,Biamonti 134, Sonata for Piano Four Hands in D major,D major, pf4h,Keyboard,"Op. 6, Biamonti 134",1797.0,0.0,D,,major,Sonata for Piano,other
Op. 7,,,Biamonti 136, Piano Sonata No.4 ('Grand Sonata'),E flat major, pf,Keyboard,"Op. 7, Biamonti 136",1797.0,0.0,E flat,,major,Sonata for Piano,other
Op. 8,,,Biamonti 135, Serenade,D major, vn va vc,Chamber,"Op. 8, Biamonti 135",1797.0,0.0,D,,major,Other,other
Op. 9 No. 2,,,Biamonti 153/2, String Trios : String Trio,D major, vn va vc,Chamber,"Op. 9 No. 2, Biamonti 153/2",1798.0,0.0,D,,major,Trio (except Piano Trio),other
Op. 9 No. 3,,,Biamonti 153/3, String Trios : String Trio,C minor, vn va vc,Chamber,"Op. 9 No. 3, Biamonti 153/3",1798.0,1.0,C,,minor,Trio (except Piano Trio),other
Op. 10 No. 1,,,Biamonti 157/1, Piano Sonatas : Piano Sonata No.5,C minor, pf,Keyboard,"Op. 10 No. 1, Biamonti 157/1",1797.0,1.0,C,,minor,Sonata for Piano,other
Op. 10 No. 2,,,Biamonti 157/2, Piano Sonatas : Piano Sonata No.6,F major, pf,Keyboard,"Op. 10 No. 2, Biamonti 157/2",1797.0,0.0,F,,major,Sonata for Piano,other
Op. 10 No. 3,,,Biamonti 157/3, Piano Sonatas : Piano Sonata No.7,D major, pf,Keyboard,"Op. 10 No. 3, Biamonti 157/3",1798.0,0.0,D,,major,Sonata for Piano,other
Op. 11,,,Biamonti 156, Trio in B-flat major ('Gassenhauer'),B flat major, cl/vn vc pf,Chamber,"Op. 11, Biamonti 156",1798.0,0.0,B flat,,major,Trio (except Piano Trio),other
Op. 12 No. 1,,,Biamonti 165/1, Violin Sonatas : Violin Sonata No.1,D major, vn pf,Chamber,"Op. 12 No. 1, Biamonti 165/1",1798.0,0.0,D,,major,Sonata for Violin,other
Op. 12 No. 2,,,Biamonti 165/2, Violin Sonatas : Violin Sonata No.2,A major, vn pf,Chamber,"Op. 12 No. 2, Biamonti 165/2",1798.0,0.0,A,,major,Sonata for Violin,other
