Op.,WoO,Hess,Biamonti,Title,Key,Date,Scoring,Genre,Comments
1, —, —, 62, Piano Trios (3):, NaN, 1792-94, vn vc pf, Chamber, NaN
1/1, —, —, 62/1, Piano Trio, E flat major, 1792-93, vn vc pf, Chamber, NaN
1/2, —, —, 62/2, Piano Trio, G major, 1792-94, vn vc pf, Chamber, NaN
1/3, —, —, 62/3, Piano Trio, C minor, 1792-94, vn vc pf, Chamber, arr. for 2vn va vc as Op.104
2, —, —, 87, Piano Sonatas (3):, NaN, 1793-95, pf, Keyboard, NaN
2/1, —, —, 87/1, Piano Sonata No.1, F minor, 1793-95, pf, Keyboard, NaN
2/2, —, —, 87/2, Piano Sonata No.2, A major, 1794-95, pf, Keyboard, NaN
2/3, —, —, 87/3, Piano Sonata No.3, C major, 1794-95, pf, Keyboard, NaN
3, —, —, 105, String Trio, E flat major, 1794, vn va vc, Chamber, see also Op.64
4, —, —, 115, String Quintet, E flat major, 1795, 2vn 2va vc, Chamber, based on Op.103; see also Op.63
5, —, —, 106, Cello Sonatas (2), NaN, 1796, vc pf, Chamber, NaN
5/1, —, —, 106/1, Cello Sonata No.1, F major, 1796, vc pf, Chamber, NaN
5/2, —, —, 106/2, Cello Sonata No.2, G minor, 1796, vc pf, Chamber, NaN
6, —, —, 134, Sonata for Piano Four Hands in D major, D major, 1796-97, pf4h, Keyboard, NaN
7, —, —, 136, Piano Sonata No.4 ('Grand Sonata'), E flat major, 1796-97, pf, Keyboard, NaN
8, —, —, 135, Serenade, D major, 1796-97, vn va vc, Chamber, NaN
9, —, —, 153, String Trios (3):, NaN, 1797-98, vn va vc, Chamber, NaN
9/1, —, —, 153/1, String Trio, G major, 1797-98, vn va vc, Chamber, NaN
9/2, —, —, 153/2, String Trio, D major, 1797-98, vn va vc, Chamber, NaN
9/3, —, —, 153/3, String Trio, C minor, 1797-98, vn va vc, Chamber, NaN
10, —, —, 157, Piano Sonatas (3):, NaN, 1795-98, pf, Keyboard, NaN
10/1, —, —, 157/1, Piano Sonata No.5, C minor, 1795-97, pf, Keyboard, NaN
10/2, —, —, 157/2, Piano Sonata No.6, F major, 1796-97, pf, Keyboard, NaN
10/3, —, —, 157/3, Piano Sonata No.7, D major, 1797-98, pf, Keyboard, NaN
11, —, —, 156, Trio in B-flat major ('Gassenhauer'), B flat major, 1797-98, cl/vn vc pf, Chamber, NaN
12, —, —, 165, Violin Sonatas (3):, NaN, 1797-98, vn pf, Chamber, NaN
12/1, —, —, 165/1, Violin Sonata No.1, D major, 1797-98, vn pf, Chamber, NaN
12/2, —, —, 165/2, Violin Sonata No.2, A major, 1797-98, vn pf, Chamber, NaN
12/3, —, —, 165/3, Violin Sonata No.3, E flat major, 1797-98, vn pf, Chamber, NaN
13, —, —, 184, Piano Sonata No.8 ('Pathétique'), C minor, 1797-98, pf, Keyboard, NaN
14, —, —, —, Piano Sonatas (2):, NaN, 1798-99, pf, Keyboard, NaN
14/1, —, —, 285, Piano Sonata No.9, E major, 1798-99, pf, Keyboard, NaN
14/2, —, —, 284, Piano Sonata No.10, G major, 1799, pf, Keyboard, NaN
15, —, —, 167, Piano Concerto No.1, C major, 1795-1800, pf orch, Orchestral, NaN
16, —, —, 130, Quintet in E-flat major, E flat major, 1796-97, ob cl bn hn pf, Chamber, arr for vn va vc pf as Op.16a
16a, —, —, 131, Quintet in E-flat major, E flat major, 1796-97, vn va vc pf, Chamber, arr of Op.16
17, —, —, 206, Horn Sonata, F major, 1800, hn pf, Chamber, NaN
